run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394712,RCN18745,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14394712/ERR14394712_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14394712/ERR14394712_2.fastq.gz
ERR14394713,RCN18745,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14394713/ERR14394713_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14394713/ERR14394713_2.fastq.gz
ERR14394720,RCN18749,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394720/ERR14394720_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394720/ERR14394720_2.fastq.gz
ERR14394722,RCN18749,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14394722/ERR14394722_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14394722/ERR14394722_2.fastq.gz
ERR15627427,RCN18729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/027/ERR15627427/ERR15627427_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/027/ERR15627427/ERR15627427_2.fastq.gz
ERR14394651,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_2.fastq.gz
ERR14394652,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_2.fastq.gz
ERR14394653,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_2.fastq.gz
ERR14394684,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394684/ERR14394684_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394684/ERR14394684_2.fastq.gz
ERR14394686,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14394686/ERR14394686_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14394686/ERR14394686_2.fastq.gz
ERR15627434,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/034/ERR15627434/ERR15627434_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/034/ERR15627434/ERR15627434_2.fastq.gz
ERR14394678,RCN18734,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394678/ERR14394678_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394678/ERR14394678_2.fastq.gz
ERR14394685,RCN18736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/085/ERR14394685/ERR14394685_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/085/ERR14394685/ERR14394685_2.fastq.gz
ERR14394692,RCN18738,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/092/ERR14394692/ERR14394692_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/092/ERR14394692/ERR14394692_2.fastq.gz
ERR14394698,RCN18740,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14394698/ERR14394698_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14394698/ERR14394698_2.fastq.gz
ERR14394721,RCN18749,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394721/ERR14394721_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394721/ERR14394721_2.fastq.gz
ERR14394619,RCN18713,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394619/ERR14394619_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394619/ERR14394619_2.fastq.gz
ERR14394662,RCN18728,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14394662/ERR14394662_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14394662/ERR14394662_2.fastq.gz
ERR14394668,RCN18730,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14394668/ERR14394668_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14394668/ERR14394668_2.fastq.gz
ERR14394672,RCN18732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14394672/ERR14394672_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14394672/ERR14394672_2.fastq.gz
ERR14394681,RCN18735,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14394681/ERR14394681_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14394681/ERR14394681_2.fastq.gz
ERR14394699,RCN18741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14394699/ERR14394699_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14394699/ERR14394699_2.fastq.gz
ERR14394719,RCN18748,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394719/ERR14394719_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394719/ERR14394719_2.fastq.gz
ERR15627425,RCN18725,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/025/ERR15627425/ERR15627425_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/025/ERR15627425/ERR15627425_2.fastq.gz
ERR15627438,RCN18740,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/038/ERR15627438/ERR15627438_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/038/ERR15627438/ERR15627438_2.fastq.gz
ERR15627446,RCN18749,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15627446/ERR15627446_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15627446/ERR15627446_2.fastq.gz
ERR14394618,RCN18713,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394618/ERR14394618_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394618/ERR14394618_2.fastq.gz
ERR14394620,RCN18713,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394620/ERR14394620_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394620/ERR14394620_2.fastq.gz
ERR14394661,RCN18728,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14394661/ERR14394661_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14394661/ERR14394661_2.fastq.gz
ERR14394663,RCN18729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394663/ERR14394663_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394663/ERR14394663_2.fastq.gz
ERR14394665,RCN18729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14394665/ERR14394665_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14394665/ERR14394665_2.fastq.gz
ERR14394667,RCN18730,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14394667/ERR14394667_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14394667/ERR14394667_2.fastq.gz
ERR14394682,RCN18735,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14394682/ERR14394682_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14394682/ERR14394682_2.fastq.gz
