sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN13339,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625879,ERR14390097,ERR14390098,ERR14390099
RCN13342,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Sensitive,Sensitive,ERR15625882,ERR14390106,ERR14390107,ERR14390108
RCN13344,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Resistant,Sensitive,Sensitive,ERR15625884,ERR14390112,ERR14390113,ERR14390114
RCN13346,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625886,ERR14390118,ERR14390119,ERR14390120
RCN13348,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625888,ERR14390124,ERR14390125,ERR14390126
RCN13350,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625890,ERR14390130,ERR14390131,ERR14390132
RCN13351,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625891,ERR14390133,ERR14390134,ERR14390135
RCN13353,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625893,ERR14390139,ERR14390140,ERR14390141
RCN13356,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625896,ERR14390148,ERR14390149,ERR14390150
RCN13364,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625905,ERR14390172,ERR14390173,ERR14390174
