sample,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,Species,ENA,% callable
RCN13389,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Pf,ERR3504026,88.92
RCN13391,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3504031,89.2
RCN13398,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Pf,ERR3504011,89.55
RCN13411,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3504016,89.76
RCN13414,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479117,87.51
RCN13416,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3504029,89.16
RCN13427,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3504009,89.78
RCN13446,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,Pf,ERR3486413,88.86
RCN13452,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3486436,89.24
RCN13455,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479160,88.17
RCN13462,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3486408,88.15
RCN13466,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479186,88.31
RCN13468,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3486406,88.98
RCN13474,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3486416,87.88
RCN13475,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479148,89.09
RCN13476,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479142,89.41
RCN13479,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479170,88.89
RCN13480,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479164,88.0
RCN13482,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479151,88.29
RCN13487,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479140,89.22
RCN13488,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479214,88.95
RCN13495,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3479165,89.78
RCN13501,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Pf,ERR3479149,89.78
RCN13503,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3486419,87.84
RCN13505,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Pf,ERR3486415,88.22
