run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394983,RCN24877,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14394983/ERR14394983_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14394983/ERR14394983_2.fastq.gz
ERR14395009,RCN24888,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14395009/ERR14395009_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14395009/ERR14395009_2.fastq.gz
ERR14395010,RCN24888,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14395010/ERR14395010_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14395010/ERR14395010_2.fastq.gz
ERR15628032,RCN24813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15628032/ERR15628032_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15628032/ERR15628032_2.fastq.gz
ERR15628036,RCN24817,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15628036/ERR15628036_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15628036/ERR15628036_2.fastq.gz
ERR15628072,RCN24856,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15628072/ERR15628072_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15628072/ERR15628072_2.fastq.gz
ERR15628102,RCN24888,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/002/ERR15628102/ERR15628102_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/002/ERR15628102/ERR15628102_2.fastq.gz
ERR14394828,RCN24822,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14394828/ERR14394828_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14394828/ERR14394828_2.fastq.gz
ERR14394830,RCN24822,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14394830/ERR14394830_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14394830/ERR14394830_2.fastq.gz
ERR14394879,RCN24840,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14394879/ERR14394879_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14394879/ERR14394879_2.fastq.gz
ERR14394880,RCN24840,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14394880/ERR14394880_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14394880/ERR14394880_2.fastq.gz
ERR14394942,RCN24864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14394942/ERR14394942_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14394942/ERR14394942_2.fastq.gz
ERR14394943,RCN24864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14394943/ERR14394943_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14394943/ERR14394943_2.fastq.gz
ERR14394951,RCN24867,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394951/ERR14394951_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394951/ERR14394951_2.fastq.gz
ERR14394952,RCN24867,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394952/ERR14394952_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394952/ERR14394952_2.fastq.gz
ERR14394953,RCN24867,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394953/ERR14394953_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394953/ERR14394953_2.fastq.gz
ERR15628041,RCN24822,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15628041/ERR15628041_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15628041/ERR15628041_2.fastq.gz
ERR15628059,RCN24840,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15628059/ERR15628059_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15628059/ERR15628059_2.fastq.gz
ERR15628079,RCN24864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/079/ERR15628079/ERR15628079_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/079/ERR15628079/ERR15628079_2.fastq.gz
ERR14394831,RCN24823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14394831/ERR14394831_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14394831/ERR14394831_2.fastq.gz
ERR14394832,RCN24823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14394832/ERR14394832_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14394832/ERR14394832_2.fastq.gz
ERR14394833,RCN24823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14394833/ERR14394833_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14394833/ERR14394833_2.fastq.gz
ERR15628042,RCN24823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/042/ERR15628042/ERR15628042_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/042/ERR15628042/ERR15628042_2.fastq.gz
ERR14394969,RCN24873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14394969/ERR14394969_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14394969/ERR14394969_2.fastq.gz
ERR14394970,RCN24873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14394970/ERR14394970_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14394970/ERR14394970_2.fastq.gz
ERR14394971,RCN24873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14394971/ERR14394971_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14394971/ERR14394971_2.fastq.gz
ERR15628088,RCN24873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/088/ERR15628088/ERR15628088_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/088/ERR15628088/ERR15628088_2.fastq.gz
ERR14394784,RCN24807,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394784/ERR14394784_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14394784/ERR14394784_2.fastq.gz
ERR14394797,RCN24811,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14394797/ERR14394797_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14394797/ERR14394797_2.fastq.gz
ERR14394805,RCN24814,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14394805/ERR14394805_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14394805/ERR14394805_2.fastq.gz
ERR14394808,RCN24815,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394808/ERR14394808_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394808/ERR14394808_2.fastq.gz
ERR14394821,RCN24819,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394821/ERR14394821_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394821/ERR14394821_2.fastq.gz
ERR14394829,RCN24822,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14394829/ERR14394829_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14394829/ERR14394829_2.fastq.gz
ERR14394835,RCN24824,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14394835/ERR14394835_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14394835/ERR14394835_2.fastq.gz
ERR14394849,RCN24829,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14394849/ERR14394849_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14394849/ERR14394849_2.fastq.gz
ERR14394875,RCN24838,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/075/ERR14394875/ERR14394875_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/075/ERR14394875/ERR14394875_2.fastq.gz
ERR14394876,RCN24839,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394876/ERR14394876_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394876/ERR14394876_2.fastq.gz
ERR14394908,RCN24851,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394908/ERR14394908_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14394908/ERR14394908_2.fastq.gz
ERR14394920,RCN24856,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394920/ERR14394920_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394920/ERR14394920_2.fastq.gz
ERR14394974,RCN24874,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14394974/ERR14394974_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14394974/ERR14394974_2.fastq.gz
ERR14395008,RCN24888,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14395008/ERR14395008_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14395008/ERR14395008_2.fastq.gz
ERR15628035,RCN24816,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/035/ERR15628035/ERR15628035_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/035/ERR15628035/ERR15628035_2.fastq.gz
ERR15628051,RCN24832,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15628051/ERR15628051_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15628051/ERR15628051_2.fastq.gz
ERR15628073,RCN24857,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15628073/ERR15628073_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15628073/ERR15628073_2.fastq.gz
ERR15628092,RCN24877,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/092/ERR15628092/ERR15628092_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/092/ERR15628092/ERR15628092_2.fastq.gz
ERR15628098,RCN24884,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/098/ERR15628098/ERR15628098_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/098/ERR15628098/ERR15628098_2.fastq.gz
ERR14394792,RCN24810,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/092/ERR14394792/ERR14394792_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/092/ERR14394792/ERR14394792_2.fastq.gz
ERR14394799,RCN24812,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14394799/ERR14394799_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14394799/ERR14394799_2.fastq.gz
