file,count
ERR14391187_1.fastq.gz,39389
ERR14391188_1.fastq.gz,1185
ERR14391189_1.fastq.gz,41415
ERR14391190_1.fastq.gz,43047
ERR14391191_1.fastq.gz,1592
ERR14391192_1.fastq.gz,63005
ERR14391193_1.fastq.gz,65277
ERR14391194_1.fastq.gz,2284
ERR14391207_1.fastq.gz,30164
ERR14391208_1.fastq.gz,40564
ERR14391209_1.fastq.gz,1133
ERR14391210_1.fastq.gz,51238
ERR14391211_1.fastq.gz,46534
ERR14391212_1.fastq.gz,1766
ERR14391216_1.fastq.gz,47824
ERR14391217_1.fastq.gz,46757
ERR14391218_1.fastq.gz,1842
ERR14391231_1.fastq.gz,29502
ERR14391232_1.fastq.gz,39602
ERR14391233_1.fastq.gz,1146
ERR14391234_1.fastq.gz,49339
ERR14391235_1.fastq.gz,52474
ERR14391236_1.fastq.gz,1187
ERR14391237_1.fastq.gz,50096
ERR14391238_1.fastq.gz,40483
ERR14391239_1.fastq.gz,1556
ERR14391240_1.fastq.gz,39605
ERR14391241_1.fastq.gz,43631
ERR14391242_1.fastq.gz,1560
ERR14391243_1.fastq.gz,44748
ERR14391244_1.fastq.gz,44406
ERR14391245_1.fastq.gz,1232
ERR14391252_1.fastq.gz,29975
ERR14391253_1.fastq.gz,35027
ERR14391254_1.fastq.gz,1407
ERR14391264_1.fastq.gz,28809
ERR14391265_1.fastq.gz,28928
ERR14391266_1.fastq.gz,167
ERR14391267_1.fastq.gz,30238
ERR14391268_1.fastq.gz,30959
ERR14391269_1.fastq.gz,839
ERR14391270_1.fastq.gz,27320
ERR14391271_1.fastq.gz,26335
ERR14391272_1.fastq.gz,563
ERR14391273_1.fastq.gz,29890
ERR14391274_1.fastq.gz,28885
ERR14391275_1.fastq.gz,787
ERR14391279_1.fastq.gz,37890
ERR14391280_1.fastq.gz,33613
ERR14391281_1.fastq.gz,806
ERR14391282_1.fastq.gz,31997
ERR14391283_1.fastq.gz,28982
ERR14391284_1.fastq.gz,669
ERR14391300_1.fastq.gz,29073
ERR14391301_1.fastq.gz,35322
ERR14391302_1.fastq.gz,10
ERR14391303_1.fastq.gz,33421
ERR14391304_1.fastq.gz,30307
ERR14391305_1.fastq.gz,770
ERR14391306_1.fastq.gz,36859
ERR14391307_1.fastq.gz,32979
ERR14391308_1.fastq.gz,1313
ERR14391309_1.fastq.gz,34700
ERR14391310_1.fastq.gz,29687
ERR14391311_1.fastq.gz,970
ERR14391312_1.fastq.gz,23727
ERR14391313_1.fastq.gz,25572
ERR14391314_1.fastq.gz,857
ERR14391315_1.fastq.gz,32939
ERR14391316_1.fastq.gz,29427
ERR14391317_1.fastq.gz,1022
ERR14391318_1.fastq.gz,29237
ERR14391319_1.fastq.gz,28046
ERR14391320_1.fastq.gz,372
ERR14391321_1.fastq.gz,29934
ERR14391322_1.fastq.gz,30066
ERR14391323_1.fastq.gz,760
ERR14391327_1.fastq.gz,23056
ERR14391328_1.fastq.gz,22872
ERR14391329_1.fastq.gz,264
ERR14391339_1.fastq.gz,38102
ERR14391340_1.fastq.gz,35489
ERR14391341_1.fastq.gz,1088
ERR14391345_1.fastq.gz,29717
ERR14391346_1.fastq.gz,26808
ERR14391347_1.fastq.gz,660
ERR14391348_1.fastq.gz,21256
ERR14391349_1.fastq.gz,21842
ERR14391350_1.fastq.gz,480
ERR14391351_1.fastq.gz,37324
ERR14391352_1.fastq.gz,32962
ERR14391353_1.fastq.gz,995
ERR14391354_1.fastq.gz,32670
ERR14391355_1.fastq.gz,25916
ERR14391356_1.fastq.gz,879
ERR14391357_1.fastq.gz,36051
ERR14391358_1.fastq.gz,30511
ERR14391359_1.fastq.gz,648
ERR14391363_1.fastq.gz,28623
ERR14391364_1.fastq.gz,27787
ERR14391365_1.fastq.gz,299
ERR14391366_1.fastq.gz,36087
ERR14391367_1.fastq.gz,36129
ERR14391368_1.fastq.gz,958
ERR14391369_1.fastq.gz,24309
ERR14391370_1.fastq.gz,23851
ERR14391371_1.fastq.gz,834
ERR14391372_1.fastq.gz,22739
ERR14391373_1.fastq.gz,24718
ERR14391374_1.fastq.gz,7
ERR14391375_1.fastq.gz,30863
ERR14391376_1.fastq.gz,29001
ERR14391377_1.fastq.gz,859
ERR14391381_1.fastq.gz,44892
ERR14391382_1.fastq.gz,42551
ERR14391383_1.fastq.gz,1561
ERR14391387_1.fastq.gz,34350
ERR14391388_1.fastq.gz,26689
ERR14391389_1.fastq.gz,1217
ERR14391393_1.fastq.gz,27443
ERR14391394_1.fastq.gz,25493
ERR14391395_1.fastq.gz,713
ERR14391396_1.fastq.gz,29722
ERR14391397_1.fastq.gz,26866
ERR14391398_1.fastq.gz,629
ERR14391399_1.fastq.gz,31288
ERR14391400_1.fastq.gz,28477
ERR14391401_1.fastq.gz,832
ERR14391402_1.fastq.gz,26783
ERR14391403_1.fastq.gz,25170
ERR14391404_1.fastq.gz,535
ERR14391405_1.fastq.gz,33417
ERR14391406_1.fastq.gz,31258
ERR14391407_1.fastq.gz,640
ERR14391408_1.fastq.gz,29064
ERR14391409_1.fastq.gz,27952
ERR14391410_1.fastq.gz,693
ERR14391411_1.fastq.gz,27089
ERR14391412_1.fastq.gz,26708
ERR14391413_1.fastq.gz,611
ERR14391414_1.fastq.gz,28173
ERR14391415_1.fastq.gz,26968
ERR14391416_1.fastq.gz,738
ERR14391417_1.fastq.gz,38317
