sample,sample_accession,library_name,experiment_accession,run_accession
RCN14234,SAMEA120052036,RCN14234_WGS,ERX15023437,ERR15626366
RCN14279,SAMEA120052057,RCN14279_WGS,ERX15023458,ERR15626387
RCN14265,SAMEA120052047,RCN14265_WGS,ERX15023448,ERR15626377
RCN14296,SAMEA120052071,RCN14296_WGS,ERX15023472,ERR15626401
RCN14589,SAMEA120052108,RCN14589_WGS,ERX15023509,ERR15626438
RCN14596,SAMEA120052115,RCN14596_WGS,ERX15023516,ERR15626445
RCN14625,SAMEA120052144,RCN14625_WGS,ERX15023545,ERR15626474
RCN14631,SAMEA120052150,RCN14631_WGS,ERX15023551,ERR15626480
RCN14604,SAMEA120052123,RCN14604_WGS,ERX15023524,ERR15626453
RCN14610,SAMEA120052129,RCN14610_WGS,ERX15023530,ERR15626459
RCN14623,SAMEA120052142,RCN14623_WGS,ERX15023543,ERR15626472
RCN14629,SAMEA120052148,RCN14629_WGS,ERX15023549,ERR15626478
RCN14638,SAMEA120052156,RCN14638_WGS,ERX15023557,ERR15626486
RCN14643,SAMEA120052161,RCN14643_WGS,ERX15023562,ERR15626491
RCN14653,SAMEA120052171,RCN14653_WGS,ERX15023572,ERR15626501
RCN14658,SAMEA120052176,RCN14658_WGS,ERX15023577,ERR15626506
RCN14621,SAMEA120052140,RCN14621_WGS,ERX15023541,ERR15626470
RCN14622,SAMEA120052141,RCN14622_WGS,ERX15023542,ERR15626471
RCN14639,SAMEA120052157,RCN14639_WGS,ERX15023558,ERR15626487
RCN14662,SAMEA120052180,RCN14662_WGS,ERX15023581,ERR15626510
RCN14644,SAMEA120052162,RCN14644_WGS,ERX15023563,ERR15626492
RCN14651,SAMEA120052169,RCN14651_WGS,ERX15023570,ERR15626499
RCN14605,SAMEA120052124,RCN14605_WGS,ERX15023525,ERR15626454
RCN14640,SAMEA120052158,RCN14640_WGS,ERX15023559,ERR15626488
RCN14649,SAMEA120052167,RCN14649_WGS,ERX15023568,ERR15626497
RCN14603,SAMEA120052122,RCN14603_WGS,ERX15023523,ERR15626452
RCN14609,SAMEA120052128,RCN14609_WGS,ERX15023529,ERR15626458
RCN14611,SAMEA120052130,RCN14611_WGS,ERX15023531,ERR15626460
RCN14627,SAMEA120052146,RCN14627_WGS,ERX15023547,ERR15626476
RCN14645,SAMEA120052163,RCN14645_WGS,ERX15023564,ERR15626493
RCN14661,SAMEA120052179,RCN14661_WGS,ERX15023580,ERR15626509
RCN14600,SAMEA120052119,RCN14600_WGS,ERX15023520,ERR15626449
RCN14602,SAMEA120052121,RCN14602_WGS,ERX15023522,ERR15626451
RCN14616,SAMEA120052135,RCN14616_WGS,ERX15023536,ERR15626465
RCN14624,SAMEA120052143,RCN14624_WGS,ERX15023544,ERR15626473
RCN14628,SAMEA120052147,RCN14628_WGS,ERX15023548,ERR15626477
RCN14648,SAMEA120052166,RCN14648_WGS,ERX15023567,ERR15626496
RCN14650,SAMEA120052168,RCN14650_WGS,ERX15023569,ERR15626498
