run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14393232,RCN15343,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14393232/ERR14393232_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14393232/ERR14393232_2.fastq.gz
ERR14393279,RCN15359,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14393279/ERR14393279_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14393279/ERR14393279_2.fastq.gz
ERR14393233,RCN15343,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14393233/ERR14393233_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14393233/ERR14393233_2.fastq.gz
ERR15627012,RCN15359,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15627012/ERR15627012_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15627012/ERR15627012_2.fastq.gz
ERR14393234,RCN15343,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14393234/ERR14393234_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14393234/ERR14393234_2.fastq.gz
ERR14393277,RCN15359,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14393277/ERR14393277_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14393277/ERR14393277_2.fastq.gz
ERR14393278,RCN15359,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14393278/ERR14393278_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14393278/ERR14393278_2.fastq.gz
ERR15626997,RCN15343,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/097/ERR15626997/ERR15626997_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/097/ERR15626997/ERR15626997_2.fastq.gz
ERR14394294,RCN18593,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14394294/ERR14394294_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14394294/ERR14394294_2.fastq.gz
ERR14394296,RCN18593,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14394296/ERR14394296_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14394296/ERR14394296_2.fastq.gz
ERR14394295,RCN18593,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14394295/ERR14394295_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14394295/ERR14394295_2.fastq.gz
ERR15627334,RCN18593,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/034/ERR15627334/ERR15627334_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/034/ERR15627334/ERR15627334_2.fastq.gz
ERR14395863,RCN25190,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14395863/ERR14395863_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14395863/ERR14395863_2.fastq.gz
ERR14396599,RCN25946,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14396599/ERR14396599_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14396599/ERR14396599_2.fastq.gz
ERR15628559,RCN25946,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15628559/ERR15628559_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15628559/ERR15628559_2.fastq.gz
ERR14395864,RCN25190,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14395864/ERR14395864_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14395864/ERR14395864_2.fastq.gz
ERR14395865,RCN25190,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14395865/ERR14395865_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14395865/ERR14395865_2.fastq.gz
ERR15628307,RCN25190,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/007/ERR15628307/ERR15628307_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/007/ERR15628307/ERR15628307_2.fastq.gz
ERR14396598,RCN25946,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14396598/ERR14396598_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14396598/ERR14396598_2.fastq.gz
ERR14396600,RCN25946,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14396600/ERR14396600_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14396600/ERR14396600_2.fastq.gz
